objectID,userID,objectType,broadperiod,rightCorner,collection,museumCollection,site,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-51224,433,Sword,Bronze Age,,"Mus. London, 01366",Museum of London,"Thames,Off Ship P.H.,Mortlake,Towards Surrey Shore",England,,"Mortlake, London Sw14, UK",51.4698873,-0.2685226,,,,,,,,,,,,,,,,,Source of illustn.? Prob. PRBA BA portfolio.,Joellen McGann,https://farm2.staticflickr.com/1516/24168612106_945a456126_b.jpg,https://farm2.staticflickr.com/1516/24168612106_945a456126_b.jpg,https://www.flickr.com/photos/115096994@N02/24168612106,superuser,ThamesSwords
BAI-51234,433,Unknown,Bronze Age,IIIb,"Brentford Public Library,Layton Collection,01359,Now in The London Museum",Museum of London,"England,Thames,Middlesex,Isleworth,Bed of Thames, Sion Reach, about 250 yards above One Tree and between it and Church Ferry.,28 August 1865",England,Greater London,"Isleworth, Greater London, UK",51.4683558,-0.3263111,,28,8,1865,575,hilt 58; blade 43,,,Golden brown colour with slight mud stains + rust stains.,,hilt 7; blade 7,,,,"Three large perforations for rivets, but with rivets missing. The blade is bent.",,Inacc.,Joellen McGann,https://farm2.staticflickr.com/1592/24168608556_7db37c8e2d_b.jpg,https://farm2.staticflickr.com/1592/24168608556_7db37c8e2d_b.jpg,https://www.flickr.com/photos/115096994@N02/24168608556,superuser,ThamesSwords
BAI-51236,433,Sword Hallstatt hybrid,Bronze Age,IVb,"Brentford Public Library,Layton Collection, 01330,Now in The London Museum",Museum of London,"England,Thames,Middlesex,Isleworth,Thames, near Rails Head Ferry,May 1891",England,Greater London,"Isleworth, Greater London, UK",51.4683558,-0.3263111,,,5,1891,332,"blade 37, 31; hilt plate 47, 38",,,Traces of black patina.,Dirty brown bronze; some blackish encrustment.,blade 7.25,,,,"2 rivets, 5 rivet holes. Edges jagged.",,Inacc.,Joellen McGann,https://farm2.staticflickr.com/1712/24168607076_31fd1890cd_b.jpg,https://farm2.staticflickr.com/1712/24168607076_31fd1890cd_b.jpg,https://www.flickr.com/photos/115096994@N02/24168607076,superuser,ThamesSwords
BAI-51241,433,Sword,Bronze Age,IVa,"Brentford Public Library,Layton Collection 01354,London Museum",Museum of London,"England,Thames,Middlesex,Brentford,Off ""Old England"" above Great Western Docks,Bed of Thames,12 July 1864",England,Greater London,"Brentford, Greater London, UK",51.4863958,-0.3216623,,12,7,1864,557,"blade 46; hilt plate 52, 48",,,Brown patina with green patches on one side.,,blade 7.5,,,,2 rivets. Sharp edges. Slight indications of flanges in each side of hilt. Point broken. Good condition.  Much bent.,,"Hallstatt influence,OK",Joellen McGann,https://farm2.staticflickr.com/1552/24168604436_2eb19bf807_b.jpg,https://farm2.staticflickr.com/1552/24168604436_2eb19bf807_b.jpg,https://www.flickr.com/photos/115096994@N02/24168604436,superuser,ThamesSwords
BAI-51242,433,Sword,Bronze Age,IIIa,"Brentford Public Library,Layton Collection, 01358,Now in The London Museum",Museum of London,"England,Thames,Middlesex,Brentford,off ""Old England"" above Great Western Docks,Bed of Thames,9 July 1864",England,Greater London,"Brentford, Greater London, UK",51.4863958,-0.3216623,,9,7,1864,463,"blade 41, 38.5; hilt plate 60",,,Dirty brown patina with patches of very slight green encrustment.,,blade 7,,,,"Blade bent - jagged + turned back edge, near point. 1 rivet",,OK,Joellen McGann,https://farm2.staticflickr.com/1596/24168603576_ca0f687a53_b.jpg,https://farm2.staticflickr.com/1596/24168603576_ca0f687a53_b.jpg,https://www.flickr.com/photos/115096994@N02/24168603576,superuser,ThamesSwords
BAI-51244,433,Sword,Bronze Age,C,"Brentford Public Library,Layton Collection, 01328,Now in London Museum",Museum of London,"England,Thames,Middlesex,Brentford,Off Old England,R. Thames",England,Greater London,"Brentford, Greater London, UK",51.4863958,-0.3216623,,,,,503,"blade 45, 47; hilt 38",,,Black patina with green stains of slight encrustment.,Slightly corroded.,blade 8,,,,Edge chipped. Point brokn. 4 rivets.,,"Inacc.,Drilled for analysis 3-2-65",Joellen McGann,https://farm2.staticflickr.com/1718/24168602396_b4365e092b_b.jpg,https://farm2.staticflickr.com/1718/24168602396_b4365e092b_b.jpg,https://www.flickr.com/photos/115096994@N02/24168602396,superuser,ThamesSwords
BAI-51248,433,Sword Ht Hybrid,Bronze Age,IVb,"Richmond Public Library,Lloyd Collection,49.107/816,Now in London Museum, accession No.,(1956)",Richmond Public Library,"England,Thames,Surrey,Richmond,From the Thames at the lock + weir.,1892",England,Surrey,"Richmond, Richmond, Greater London, UK",51.4613531,-0.3032767,,,,1892,347,hilt 52; blade 41,,,Brown patina.,,blade 8,,,,"7 rivet holes with 6 rivets remaining. Broken, half of blade missing.",,"Inacc.,[Hybrid G.Dr.]",Joellen McGann,https://farm2.staticflickr.com/1487/24168599596_962b390153_b.jpg,https://farm2.staticflickr.com/1487/24168599596_962b390153_b.jpg,https://www.flickr.com/photos/115096994@N02/24168599596,superuser,ThamesSwords
BAI-51254,433,Sword,Bronze Age,B,"London Museum,A.26395,Bough from G. F. Lawrence,November 1923",Museum of London,"Thames,Middx.,Twickenham,Hampton Court,""Found in dredging by Karno's Island, Hampton Courty, amongst piles, and with a quantity of animal bones.""",England,,"Hampton Court, East Molesey, Molesey, East Molesey, Greater London Kt8, UK",,,,,,,280,,,,,,,,,,"Bevelled blade. Four rivet-holes, with two rivets remaining.","Arch. J. LXXXVI, 75,Ant. J. VII, 296, n.2",J.K. Macdonald,Joellen McGann,https://farm2.staticflickr.com/1509/24168595606_1eee0770fb_b.jpg,https://farm2.staticflickr.com/1509/24168595606_1eee0770fb_b.jpg,https://www.flickr.com/photos/115096994@N02/24168595606,superuser,ThamesSwords
BAI-51256,433,Sword,Bronze Age,C,"Brentford Public Library,Layton Collection, 01335,Now in The London Museum",Museum of London,"England,Thames,Middlesex,Twickenham,Off Pope's Villa, 20 yds from Middlesex Shore,Bed of Thames,1st October, 1884",England,Greater London,"Twickenham, Greater London, UK",51.4467444,-0.3281887,,1,10,1884,483,"blade 40.5, 29",,,"Golden brown bronze, with black patina over it.",,blade 7,,,,"Good edges, fairly sharp. 2 rivets. End of hilt damaged.",,,Joellen McGann,https://farm2.staticflickr.com/1667/24168594566_3e6130e0d4_b.jpg,https://farm2.staticflickr.com/1667/24168594566_3e6130e0d4_b.jpg,https://www.flickr.com/photos/115096994@N02/24168594566,superuser,ThamesSwords
BAI-51262,433,Sword converted into dagger,Bronze Age,IVa,"Herts County Museum, St. Albans,Ball Collection",Hertfordshire County Museum,"England,Thames,Surrey,Wandsworth,R. Thames",England,Surrey,"London Borough Of Wandsworth, Greater London, UK",51.45190115,-0.19950823955687000,,,,,240.5,"22.5, 29, 44.5, 21",,134.65,"Greeny brown, matt",Slightly pocked,"2.5, 7, 3, 4.5",,,,,,,Joellen McGann,https://farm2.staticflickr.com/1617/24168591136_95ea554b96_b.jpg,https://farm2.staticflickr.com/1617/24168591136_95ea554b96_b.jpg,https://www.flickr.com/photos/115096994@N02/24168591136,superuser,ThamesSwords
