objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-63549,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,d,"The property of Mr. Maycock, 15 Spencer Road, Putney. 1915,Vize Collection,3,Sotheby's No. 68/4",,,Private Collection,Ireland,,,auction,,,Ireland,,Ireland,,,,,,,122.5,butt 25.5,51,254.6,Thin greenish patina over a rather rough surface. Golden bronze just visible.,,10,,,,A roughness caused by casting.,,,Joellen McGann,https://farm9.staticflickr.com/8580/28265830935_487e1abaa9_z.jpg,https://farm9.staticflickr.com/8580/28265830935_487e1abaa9_b.jpg,https://www.flickr.com/photos/115096994@N02/28265830935,superuser,IrishAxesB5
BAI-63548,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,d,"The property of Mr. Maycock, 15 Spencer Road, Putney,Vize Collection No. 1,Sotheby's No. 67/3",,,Private Collection,Ireland,,,auction,,,Ireland,,Ireland,,,,,,,129,butt 33,75,517.38,,,15.5,,probably copper,,A very rough casting,,,Joellen McGann,https://farm9.staticflickr.com/8628/28187652811_1a4332db9d_z.jpg,https://farm9.staticflickr.com/8628/28187652811_1a4332db9d_b.jpg,https://www.flickr.com/photos/115096994@N02/28187652811,superuser,IrishAxesB5
BAI-63509,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,d,"? Collection, Probably Leeds",,,Private Collection,Ireland,,,,,,Ireland,,Ireland,,,,,,,122,69.5,,317,,Rough and deeply pitted.,,,,,Sharpened rounded butt and flattened sides.,,,Joellen McGann,https://farm9.staticflickr.com/8861/28162131552_42e1ee2e56_z.jpg,https://farm9.staticflickr.com/8861/28162131552_42e1ee2e56_b.jpg,https://www.flickr.com/photos/115096994@N02/28162131552,superuser,IrishAxesB5
BAI-63508,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,d,Leeds Philosophical + Literary Society's Museum,,,Private Collection,Ireland,,,,,,Ireland,,Ireland,,,,,,,165,,120.5,651,,"Surface of one side deeply pitted, the other side fairly smooth",,,,,"Butt rounded and sharpened; sides well curved, expanding into wide fan-shaped edge. Edges of sides chamfered off, leaving slight central ridge. The blade has been broken across at the centre and repaired.",,,Joellen McGann,https://farm9.staticflickr.com/8639/28162131862_5b49b1121e_z.jpg,https://farm9.staticflickr.com/8639/28162131862_5b49b1121e_b.jpg,https://www.flickr.com/photos/115096994@N02/28162131862,superuser,IrishAxesB5
BAI-63496,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,d,"Messrs. B.B. + B.W.J. Kent,1919,Tatefield Hall,Beckwithshaw,Harrogate",,,Private Collection,"Unknown, probably Ireland,Locality unknown",,,,,,Ireland,,Ireland,,,,,,,132,,89,417,Greenish brown,"One face fairly smooth, the other rough and deeply pitted.",10,,,,Butt shows traces of hammering.,,,Joellen McGann,https://farm9.staticflickr.com/8662/28162135772_1b02616671_z.jpg,https://farm9.staticflickr.com/8662/28162135772_1b02616671_b.jpg,https://www.flickr.com/photos/115096994@N02/28162135772,superuser,IrishAxesB5
BAI-63462,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,d,"Lord Armstrong,Cragside, Rothbury, Northumberland",,,Private Collection,Ireland,,,,,,Ireland,,Ireland,,,,,,,167,butt 35; centre 47,87,595,,,,,Apparently copper,,,,,Joellen McGann,https://farm9.staticflickr.com/8702/28265849775_719c5472f2_z.jpg,https://farm9.staticflickr.com/8702/28265849775_719c5472f2_b.jpg,https://www.flickr.com/photos/115096994@N02/28265849775,superuser,IrishAxesB5
BAI-63329,580,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,C,"Vizé Collection 2714,The property of Mr. Maycock, 15 Spencer Road, Putney (at Sotheby's 1921. No. 67/3)",,,Private Collection,Ireland.,,,auction,,,Ireland,,Ireland,,,,,,,148.5,butt 46,86.5,581.16,,Brownish colour & polished all over. Bronze shows through.,11; 7.0; 8.5,,,,Rather roughly cast.,,,Denis Antoine,https://farm9.staticflickr.com/8898/27650518793_96ea1397ec_z.jpg,https://farm9.staticflickr.com/8898/27650518793_96ea1397ec_b.jpg,https://www.flickr.com/photos/115096994@N02/27650518793,superuser,IrishAxesB5
BAI-63276,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,b,"Godalming,Charterhouse Museum, No. 13",,,Private Collection,Ireland,,,,,,Ireland,,Ireland,,,,,,,127.5,butt 30,97,463,with patches of apple green patina,Dark brown colour,at edge 3; behind edge 9; butt 6,,,,,,,Joellen McGann,https://farm9.staticflickr.com/8656/28265873975_0841b5bd46_z.jpg,https://farm9.staticflickr.com/8656/28265873975_0841b5bd46_b.jpg,https://www.flickr.com/photos/115096994@N02/28265873975,superuser,IrishAxesB5
BAI-63273,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,b,"Private Collection,1926,The Lord Braybrooke,Audley End, Saffron Walden,24,from Mr. Anthony's Collection",,,Private Collection,Ireland,,,,,,Ireland,,Ireland,,,,,,,139,middle 36; butt 29,60,300.8,Greenish colour with patches of metal showing.,"Rough, especially on one face",9,,,,,,,Joellen McGann,https://farm9.staticflickr.com/8750/27650419914_59ede7b72d_z.jpg,https://farm9.staticflickr.com/8750/27650419914_59ede7b72d_b.jpg,https://www.flickr.com/photos/115096994@N02/27650419914,superuser,IrishAxesB5
BAI-63272,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,b,"Private Collection,1926,The Lord Braybrooke,Audley End, Saffron Walden,24,From Mr. Anthony's Sale",,,Private Collection,Ireland,,,,,,Ireland,,Ireland,,,,,,,138,middle 29; butt 28,71,320.8,Green patina rubbed off in places.,,10,,,,Edge dented.,,,Joellen McGann,https://farm9.staticflickr.com/8871/28265875195_e12321d051_z.jpg,https://farm9.staticflickr.com/8871/28265875195_e12321d051_b.jpg,https://www.flickr.com/photos/115096994@N02/28265875195,superuser,IrishAxesB5
