PASID,objectType,broadperiod,periodFromName,periodToName,fromdate,todate,description,notes,workflow,materialTerm,secondaryMaterialTerm,subsequentActionTerm,discoveryMethod,datefound1,datefound2,TID,rallyName,weight,height,diameter,thickness,length,quantity,identifier,recorder,regionName,county,district,parish,fourFigure,gridSource,fourFigureLat,fourFigureLon,objectID,knownas,filename,imageLabel,imageCopyrightHolder,imageLicense,imageURL,thumbnail
594136,Spear,Bronze Age,Bronze Age,BRONZE AGE,-900,-800,"Fragment of Late Bronze Age copper alloy spearhead, point only, finely cast with the socket extending into the blade and containing blackened remains of burnt clay. Fine ribs flank the tapering srib of the socket on both faces. Surviving length 61mm. Surviving width 28mm Thickness at break 10mm. c.900 - c.800 BC.",,4,Copper alloy,,Returned to finder,Metal detector,2013-11-12T00:00:00Z,2013-12-09T00:00:00Z,,,,,,10,61,1,Steven Ashley,Steven Ashley,Eastern,Norfolk,King's Lynn and West Norfolk,Sedgeford,TF7036,,52.89456655,0.52569155,NMS-D636B5,,32735_D636B5_BA_Spear_ILL.jpg,Bronze Age Spear (illustration by Jason Gibbons),Norfolk County Council,Attribution License,https://finds.org.uk/images/mchesterkadwell/32735_D636B5_BA_Spear_ILL.jpg,https://finds.org.uk/images/thumbnails/462321.jpg
594503,Knife,Bronze Age,Bronze Age,,-1100,-800,"Copper alloy Bronze Age blade fragment from a knife. This has a low oval cross-section with tapered blades on either side. On both the top and bottom is a line that run parallel with the blade, demarking the cutting edge of the main body of the knife. The front and back ends are truncated making it possible that this is around the middle of the middle of the knife. This artefact date to the late Bronze Age The date range for this type of knife is c1100 to c800BC.",,4,Copper alloy,,Returned to finder,Metal detector,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,,,24.35,,,7,35,1,Kurt Adams,Kurt Adams,South West,Somerset,Mendip,Chilcompton,ST6350,From finder,51.24796284,-2.5314936,GLO-FF53F7,,DSC1186.jpg,GLO-FF53F7 Bronze Age knife blade fragment,Bristol City Council,Attribution License,https://finds.org.uk/images/kadams/DSC1186.jpg,https://finds.org.uk/images/thumbnails/451955.jpg
594505,Spear,Bronze Age,Bronze Age,,-1500,-1150,"Copper alloy socketed spearhead that dates to the middle Bronze Age. The blade of the spearhead is leaf-shaped with gently curving edges, the tip of the spearhead missing. The socket is triangular and tapers from the base to the tip of the spearhead. On both sides (8mm above the base) is an integral loop, both of which are truncated. On both sides above the loop (33 mm from the base) is a small rectangular hole, this is presumably a result of the manufacturing process and could be were a pin held sockets core during casting. The aperture at the base (16mm in diameter). The spearhead appears to be undecorated, but corrosion has removed the entire original surface leaving a pitted exterior. This artefact dates to 1500-1150BC, see WAW-DC8222 for further discussion.",,4,Copper alloy,,Returned to finder,Metal detector,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,,,58.82,,,19,116,1,Kurt Adams,Kurt Adams,South West,Somerset,Mendip,Chilcompton,ST6350,From finder,51.24796284,-2.5314936,GLO-FF6DB7,,DSC1192.jpg,GLO-FF6DB7 Bronze Age spearhead,Bristol City Council,Attribution-ShareAlike License,https://finds.org.uk/images/kadams/DSC1192.jpg,https://finds.org.uk/images/thumbnails/451956.jpg
594585,Bracelet,Bronze Age,Bronze Age,BRONZE AGE,-1500,-1150,"A folded fragment of a Middle Bronze Age gold bracelet or ring with a bundle of compressed gold ribbons wedged within the fold. (c. 1500-c. 1100 BC). Treasure case no. 2014 T15.



The object is largely sub-rectangular in plan, rectangular in cross-section and has been folded widthways through c. 180°. The narrow end is in the form of a hook-like terminal and is square in cross-section. The sides flare outwards from the hook to form a 'tab' with a break at the end. Part of the break is uneven and probably accidental and the other part has been deliberately chopped obliquely. Both faces are plain and have small scuffs and scratches. The bundle is formed by numerous thin and narrow ribbons which have been tightly compressed together. Following its discovery the bundle was detached by the finder in order to remove soil.



The artefact is closely paralleled by two conjoined objects classified as rings (possibly ear ornaments), from Binstead, West Sussex (TAR: 1998-1999, p. 10-11, fig. 3a).



A similar object, classified as a bracelet, has been recorded from Northfleet, Kent (TAR: 2004 T326; PAS: KENT-AAA333).



In discussing the Kent bracelet, Stuart Needham has commented:



'Its features do match those of a type of bracelet which occurs in just two Welsh hoards, from Capel Isaf, Dyfed, and Maesmelan Farm, Powys. The type, known as Capel Isaf, comprises a flat band strengthened by triangular-section beadings along either edge. At either terminal the band tapers quickly to a hooked tang, one of which is rod-like, the other a flatter strip; these two interlock to close the bracelet. The Northfleet fragment appears to have had a narrower band than the Welsh parallels, but its metal composition is similar with low copper and between about 9 and 16 % silver. Making this identification does not necessarily offer definitive dating since the type is not associated with datable objects. The Capel Isaf hoard contains, in addition to two of this type, two more broad-band bracelets which are plainer in design, and a small fragment of twisted strip which is likely to be the terminal of another ornament (Savory 1977: 37-53; Savory 1980: no 302, 195 fig. 46, pl. VIII). The Maesmelan Farm hoard has a simple rectangular section penannular bracelet in association with one of Capel Isaf type (Green et al 1983: 394-398). The prevailing opinion is that these are of Bronze Age date and, if so, they are likely to date to before the middle of the Bronze Age (circa 1500/1400 BC), after which the copper content of the gold rises significantly. A mature Early Bronze Age or earliest Middle Bronze Age date is feasible and would tie in with a similar date for the Heyope ribbon torcs with similar terminals from a hoard in Powys.'



Bracelet or ring: 32.61mm (length); 65.80mm (length if straightened); 15.38mm (width); 1.29mm (thickness). Weight: 7.81g.



Bundle: 13.21mm (length); 11.9mm (width); 4.29mm (thickness); 0.89mm (width of individual piece of ribbon). Weight: 1.39g.



Overall weight: 9.20g.



Non-destructive X-ray fluorescence analysis of the surface of a group of eight ornaments was undertaken by Sue La Niece at the British Museum. It indicated a surface composition for the bracelet fragment of approximately 89-91% gold, 8-10 % silver with approximately 1% copper. The surface composition of the wire is approximately 86-88% gold, approximately 10-12% silver and approximately 1% copper.The full report is appended.",The find contains a minimum of 10% gold and predates 1714. It thus qualifies as Treasure under the stipulations of the Treasure Act 1996 in terms of precious metal content and age.,3,Gold,,Acquired by museum after being declared Treasure,Metal detector,2014-01-08T00:00:00Z,,2014T15,,9.2,,,1.29,32.62,2,Frank Basford,Frank Basford,South East,Isle of Wight,Isle of Wight,Freshwater,SZ3389,GPS (from the finder),50.69971187,-1.53409693,IOW-0195D2,,2014 T15.JPG,Bronze Age Gold Bracelet or Ring. Treasure case no. 2014 T15,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/fbasford/2014 T15.JPG,https://finds.org.uk/images/thumbnails/454181.jpg
595254,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-701,"Incomplete and distorted Late Bronze Age copper alloy socketed axe, the badly scuffed cutting edge and part of the socket. The breaks are ancient but with much recent scuffing. Extant length 37.5mm. Width 35mm. Thickness 11.5mm. c.1000 - c.700 BC.



B field",,4,Copper alloy,,Returned to finder,Metal detector,2013-08-31T23:00:00Z,2013-09-29T23:00:00Z,,,35.09,,,11.5,37.5,1,Andrew Rogerson,Andrew Rogerson,Eastern,Norfolk,South Norfolk,Wymondham,TM1199,Generated from computer mapping software,52.5479357,1.11054542,NMS-66E0E2,,59696_66E0E2_BA_Axe_ILL.jpg,Late Bronze Age Socketed Axehead (illustrated by Jason Gibbons),Norfolk County Council,Attribution License,https://finds.org.uk/images/mchesterkadwell/59696_66E0E2_BA_Axe_ILL.jpg,https://finds.org.uk/images/thumbnails/462314.jpg
595407,Arrowhead,Bronze Age,Bronze Age,BRONZE AGE,-1275,-1140,"An incomplete copper alloy Bronze Age (1275-1140 BC) arrowhead, missing its tip and the ends of the barbs. There is a large crack where the tang joins the rest of the arrowhead, which has nearly split it into two parts.



Cast in a two piece mould, this arrowhead is barbed and tanged in form, with the two sides forming an angle of approximately 30 degrees. It is 41.50mm long (approximately 20mm of the original length is missing), 17.45mm wide from barb to barb, 3.20mm thick and weighs 5.46g. The tang is complete and measures c.22.90mm long, 8.20mm wide and 2.50mm thick. The arrowhead has a low mid rib, giving the object a lozengiform section. Much of the original surface survives with a dark green patina, but it is heavily scratched and pitted. The exposed surfaces are mid green in colour, but there are patches of red suggesting it was deposited in ground containing iron.



There is only one bronze arrowhead from a secure Bronze Age context in Britain and that was in the Penard hoard, first reported in Archaeologica 71, page 138. The Penard arrowhead also has a mid rib. At the time of its discovery it was a unique find in Britain and was presumed to be an import as there are numerous finds of bronze arrowheads recorded from Northern France.



However, thanks to an increase in the number of reported metal detected finds, Bronze Age bronze arrowheads are now growing in number, though they remain a rare group of artefact. Dr Colin Pendleton reports that Suffolk has 17 known examples, of which 5 can be termed barbed and tanged. Norfolk has at least 4 recorded and more examples are being added to the database from around the country. This suggests that bronze arrowheads were also a British tradition.



Though the barbed and tanged form was used in flint from the Early Bronze Age to the Middle Bronze Age, the evidence from Penard, which dates from 1275-1140 BC, suggests that copper alloy arrowheads did not come into fashion until later in the Middle Bronze Age. Therefore this is the suggested date range for this arrowhead.



A similar arrowhead albeit with a mid ridge on one side rather than a mid rib is ESS-A41D75.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,5.46,,,3.2,41.5,1,Alastair Willis,Alastair Willis,South West,Wiltshire,Wiltshire,Teffont,ST9832,From finder,51.08731112,-2.02993243,WILT-6B6CD4,,WILT-6B6CD4.jpg,Bronze Age arrowhead,Salisbury and South Wiltshire Museum,Attribution License,https://finds.org.uk/images/rhenry2/WILT-6B6CD4.jpg,https://finds.org.uk/images/thumbnails/458495.jpg
595700,Flat Axehead,Bronze Age,Bronze Age,BRONZE AGE,-2000,-1700,"An incomplete developed flat axe with hammer raised flanges of later Early Bronze Age date (c. 2000 CAL BC to c. 1700 CAL BC).



Around 25% of the axehead is present, with the blade and part of the body present. The butt and rest of the body is missing, presumed lost in antiquity. The break is patinated, suggesting that it happened in antiquity.



The axehead is broadly sub rectangular in plan with a splayed crescent shaped blade. In profile it is broadly lentoid, with slight tapering edges. At the break, the body of the axehead measures 26.4 mm wide and 12.9 mm thick. Neither the septum or the median bevel are present. The flanges are lozenge-shaped and are likely to have been raised rather than cast. In profile they are D shape and eroded projecting a maximum of 1.0 mm above the body of the axe. The sides of the blade expand to produce a crescentic blade edge with a width of 68.0 mm. There are a series of patinated striations (incised lines / file marks) running across the width of the axe. These may be a result of sharpening the cutting edge.



Overall the developed axe fragment measures 47.7 mm in length, 68.0 mm wide and 12.2 mm thick. It weighs 94.9 g.



The axe is a mid brown colour with an even surface patina. There are a couple of areas of pitting where the patina is no longer present, leaving a lighter green area.



Although incomplete the classification of the axe matches the descriptions and illustrations of the axe type Arreton ( (cf Burgess and Schmidt: Axes of Northern Britain pp65 - 75 specifically 409, 411 and 421) which is dated to Early Bronze Age III, of metalworking stage V, which corresponds to Needham's (1996) Period 3 circa 2000 CAL BC to 1700 CAL BC. Burgess and Schmidt suggest from their study that the distribution of this Arreton type concentrates in the East Riding of Yorkshire. Their work though looks directly at the axes of Scotland and Northern England.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,94.9,,,12.2,47.7,1,Teresa Gilmore,Teresa Gilmore,West Midlands,Staffordshire,Lichfield,Clifton Campville,SK2410,From finder,52.68716296,-1.64638771,WMID-90A351,,WMID-90A351.jpg,Early Bronze Age: Incomplete developed flat axehead,Birmingham Museums Trust,Attribution License,https://finds.org.uk/images/tgilmore/WMID-90A351.jpg,https://finds.org.uk/images/thumbnails/452847.jpg
595756,Axe,Bronze Age,Bronze Age,BRONZE AGE,-1000,-800,"Bronze Age (-1,000 to -801) axe fragment: The remaining portion of the copper alloy axe is the blade which has a broken edge traversing the body of the axe. The blade cutting edge is almost symmetrical and is rounded and blunt. In plan the blade tips/sides flare outwards markedly. In section, from the break to the blade the section is an elongated triangle. The break, which is a short rectangle in plan, is not recent as the patina on the break matches that on the surface of the axe. The surface of the axe has patches of a well developed dark brown patina. It weighs 62.3g. From the cutting edge to the broken edge it measures 39.52mm; across the blade, from tip to tip, it measures 45.6mm wide; across the break it is 12.57mm thick.



The whether the axe was originally a socketed axe or flat axe is not known for certain but the size at the break may suggest it is more likely to be a socketed axe dating to the late Bronze Age; 1,000 - 800 BC.",,4,Copper alloy,,Returned to finder,Metal detector,2013-01-01T00:00:00Z,2013-10-29T00:00:00Z,,,62.3,,,12.57,39.52,1,Angie Bolton,Angie Bolton,Eastern,Suffolk,Suffolk Coastal,Linstead Magna,TM3276,From finder,52.33299703,1.40373766,WAW-93CA61,,WAW-93CA61.jpg,Bronze Age Axe (plan and reverse).,Birmingham Museums Trust,Attribution License,https://finds.org.uk/images/abolton/WAW-93CA61.jpg,https://finds.org.uk/images/thumbnails/452943.jpg
595811,Palstave,Bronze Age,Bronze Age,BRONZE AGE,-1600,-1001,"Butt end of a Middle Bronze Age copper alloy palstave, ancient break, length 34mm, width 28mm, thickness 17mm, weight 43.4g. c.1600 - c.1000 BC.



Field T3",,4,Copper alloy,,Returned to finder,Metal detector,2013-08-31T23:00:00Z,2013-09-29T23:00:00Z,,,43.4,,,17,34,1,Andrew Rogerson,Andrew Rogerson,Eastern,Norfolk,South Norfolk,Tacolneston,TM1494,Generated from computer mapping software,52.50188446,1.1515025,NMS-9539E4,,33431_9539E4_BA_Axe_ILL.jpg,Middle Bronze Age Palstave (illustration by Jason Gibbons),Norfolk County Council,Attribution License,https://finds.org.uk/images/mchesterkadwell/33431_9539E4_BA_Axe_ILL.jpg,https://finds.org.uk/images/thumbnails/462312.jpg
596201,Chisel,Bronze Age,Bronze Age,BRONZE AGE,-1000,-701,"Fragment of a Late Bronze Age copper alloy chisel, part of the cutting edge in abraded condition with some patches of patination remaining. Width 32.5mm. Length 10mm. Thickness 5.5mm. c.1000 - c.700 BC.



Field MB7",,4,Copper alloy,,Returned to finder,Metal detector,2013-08-31T23:00:00Z,2013-09-29T23:00:00Z,,,,,,5.5,10,1,Andrew Rogerson,Andrew Rogerson,Eastern,Norfolk,South Norfolk,Forncett,TM1593,Generated from computer mapping software,52.49251527,1.16556615,NMS-E43D84,,59705_E43D84_BA_Axe_ILL.jpg,Late Bronze Age Chisel (illustration by Jason Gibbons),Norfolk County Council,Attribution License,https://finds.org.uk/images/mchesterkadwell/59705_E43D84_BA_Axe_ILL.jpg,https://finds.org.uk/images/thumbnails/462317.jpg
